años_experiencia,experiencia,modalidad,formación_académica,sector,tipo_de_empleo,beneficios,Ciudad,Salario_medio,Rango_Salarial,Titulo_Habilidades
,,Presencial,Ninguna,Construcción,Media jornada,,Zaragoza,,,"Delineante de Revit MEP Revit, diseño de proyectos de edificación residencial, documentación de proyectos, contacto con proveedores e industriales, control de ejecución de proyectos, análisis económico de proyectos"
0.0,intern,Presencial,Grado Universitario,Finanzas y seguros,Prácticas,,Madrid,,,"Beca Ingeniero/a de RAMS - Sector ferroviario Inglés B2, conocimientos en ingeniería, formación en seguridad ferroviaria"
0.0,intern,Hibrido,Ninguna,Internet,Prácticas,,Ciudad Real,,,"Prácticas Ingeniero/a Mecánico Junior en oil&gas Cálculo de equipos estáticos, Análisis de flexibilidad de tuberías, Validación de ofertas, Gestión de equipos, Coordinación técnica, Conocimientos en equipos dinámicos, Experiencia en Industria Petroquímica, Interés en trabajar en Plantas Petroquímicas, Cálculo de equipos a presión"
2.0,junior,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Valladolid,,,"Ingeniero/a Diseño Industrial | Automoción Ingeniería Industrial, Diseño Industrial, CATIA V5, inglés, italiano"
4.0,senior,,Grado Universitario,Internet,Jornada completa,,España,,,"Supply Chain Project Engineer – Industrial & Production Facilities industrial engineering, supply chain management, logistics, project management, cross-functional team collaboration, simulation modeling tools (FlexSim, AnyLogic), CAPEX projects"
3.0,junior,,Grado Universitario,Construcción,Contrato por obra,,Madrid,,,"Arquitectos/as o Ingenieros/as de Montes o Ingenieros/as Agrónomos/as o Ingenieros/as Industriales ArcGIS, QGIS, Presto, jefe/a de obra, planificación y control técnico, análisis de ofertas, redacción de informes técnicos, gestión de licencias, control de calidad, coordinación con proveedores y subcontratistas"
2.0,junior,,Grado Universitario,Internet,,,España,,,"INGENIERO/A DE CALIDAD JUNIOR Sistemas de Gestión de Calidad ISO 9001, ISO 19650, ISO 14001, Herramientas Office / Microsoft 365, capacidad de análisis y síntesis, proactividad, comunicación"
5.0,senior,,Ninguna,Internet,,,Sevilla,,,"INGENIERO/A CANALIZACIONES - CIVIL 3D Ingeniería Civil, hidrología, diseño de drenajes, Civil 3D, QGIS, HEC-RAS, inglés B2"
4.0,senior,Presencial,Grado Universitario,Metales y electrónica,Jornada completa,,A Coruña,,,"Ingeniero/a de Mejora Continua de Oficina Técnica Capacidad analítica, orientación a resultados, atención al detalle, buena comunicación, habilidad para coordinar equipos multidisciplinares, mentalidad proactiva, enfoque en la mejora constante, gestión de proyectos, optimización y análisis de la cadena de valor"
0.0,intern,Presencial,Grado Universitario,Tecnología y telecomunicaciones,Prácticas,,Almería,,,"Manufacturing Propulsion Engineer Ingeniería Mecánica, Aeronáutica, CAD (preferiblemente NX), modelos 3D, planos 2D, GD&T, diseño mecánico, fabricación, inglés B2"
2.0,junior,,Grado Universitario,Internet,,,España,,,"INGENIERO/A CIVIL AutoCAD, Presto, MS Project, BIM, Normativa técnica y de construcción, inglés técnico"
,,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Barcelona,,,"Operations & Flight Dynamics Engineer Satélites de comunicaciones, órbita terrestre baja (LEO), análisis de órbita, manejo de software de dinámica orbital (GMV FocusSuite, STK, GMAT, FreeFlyer), resolución de problemas técnicos, trabajo en equipo, comunicación en inglés profesional"
2.0,junior,,Grado Universitario,Internet,Jornada completa,,España,,,"Ingeniero/a Diseño de embalajes CATIA V5, diseño de contenedores, análisis de resistencia estructural, liderazgo, resolución de problemas, comunicación efectiva, capacidad de síntesis, toma de decisiones rápidas y eficientes"
4.0,senior,Hibrido,Postgrado,Tecnología y telecomunicaciones,Jornada completa,,Madrid,,,"AIT Engineer Aerospace or Industrial Engineering, mechanical and electrical integration of electronic equipment and subsystems, reading electrical schematics, wiring diagrams, test procedures, contamination control protocols, hardware safety standards, English (B2 minimum)"
5.0,senior,,Grado Universitario,Construcción,Jornada completa,,Sevilla,,,"Ingeniero/a civil oficina técnica - industrial gran envergadura 7e3a2bb2 AutoCAD, Presto, MS Project, BIM, conocimiento de normativa técnica y de construcción, nivel medio/alto de Inglés"
4.0,senior,,Grado Universitario,Internet,Jornada completa,,Santander,,,"Ingeniero/a Civil Ingeniería Civil, cálculo de estructuras, Autocad, paquete Office, inglés B2"
3.0,senior,,Grado Universitario,Internet,,,España,,,"INGENIERO/A DEPARTAMENTO TÉCNICO Gestión de proyectos, coordinación de equipos, seguimiento técnico y económico, conocimientos de normativa técnica, programas de dibujo (Autocad), medición y presupuestos, planificación, conocimientos de BIM, trabajo en equipo, habilidades de comunicación y resolución de problemas"
3.0,senior,,Grado Universitario,Internet,,,España,,,"INGENIERO/A DE PLANIFICACIÓN Ms Project, AutoCAD, BIM, Excel avanzado, Power BI"
3.0,senior,Presencial,Grado Universitario,Agricultura,Jornada completa,,Sevilla,,,"Components Engineer – Manufacturing Engineering Extended Enterprise Liderazgo, autonomía, coordinación de equipos multidisciplinarios, conocimiento de procesos de fabricación metálica (tallado, soldadura, chapa metálica, tuberías), evaluación de capacidades de proveedores, gestión de configuración, conocimiento de herramientas industriales (SAP, Demat, SNT), comunicación y negociación, inglés y español fluentes, disposición para viajar internacionalmente"
3.0,senior,,Grado Universitario,Internet,,,España,,,"Ingeniero/a Civil Diseño de estructuras de hormigón y acero, manejo de programas como SAP2000, Idea Statica, AutoCAD, MS Office, Tekla Structures, conocimiento de inglés nivel B2"
3.0,senior,,Grado Universitario,Internet,Jornada completa,,Sevilla,,,"Ingeniero/a Ferroviario Catenaria, Energía, Señalización, Sistemas ferroviarios, RAMS, trabajo en equipo, conocimiento de idiomas (Inglés y/o Francés)"
10.0,senior,,Grado Universitario,Internet,,,España,,,"Europe Mechanical Engineer & Project Engineer Mechanical engineering, structural engineering, metallurgy, project management, risk-based inspection (RBI), mechanical integrity, SAP, communication skills, leadership, decision-making, EU standards and Directives, chemical industry experience"
0.0,intern,,Grado Universitario,Tecnología y telecomunicaciones,,,España,,,"Electrical Design Engineer Análisis de sistemas, diseño eléctrico, trabajo en equipo, habilidades de comunicación, resolución de problemas, conocimiento de estándares y regulaciones, gestión de proyectos, colaboración con cadena de suministro, documentación técnica, inglés fluente"
8.0,senior,,Grado Universitario,Bienes de consumo,,,España,,,"Product Engineering Specialist Supervisión de proyectos, gestión de proveedores, coordinación interfuncional, seguimiento de la producción, gestión de contratos de calidad, transferencia de tecnología, soporte técnico"
5.0,senior,,Grado Universitario,Internet,Jornada completa,,España,,,"Ingeniero/a de Instrumentación y Control PLC, DCS, SCADA, instrumentación de proceso, protocolos industriales, HAZOP, SIL, inglés fluido, desalación, tratamiento de agua"
0.0,senior,Presencial,Grado Universitario,Internet,Contrato por obra,,Madrid,,,"Ingeniero/a o Licenciado/a o Ingeniero/a Técnico/a/Graduado/a + Máster Oficial Microsoft Office, MATLAB, DIAdem"
0.0,intern,,Ninguna,Energía y medio ambiente,Temporal,,España,,,"SUECIA - Ingeniero Eléctrico Supervisión de trabajos eléctricos, garantizar la correcta instalación, mantenimiento y operación de los componentes eléctricos, asegurar el cumplimiento de la normativa, desarrollo de ingeniería de proyecto y oficina técnica durante la ejecución, experiencia en proyectos de electrificación ferroviaria, valorable experiencia en obras de construcción, curso de 60h de nivel básico PRL"
0.0,junior,,Grado Universitario,Energía y medio ambiente,,,España,,,"Ingeniero/a Junior de Subestaciones y Líneas Inglés nivel avanzado, Microsoft Office, CAD, Autocad, conocimiento básico de normativa y legislación del sector eléctrico, habilidades de comunicación, trabajo en equipo, capacidad analítica y de síntesis, organización, actitud proactiva, curiosidad técnica"
5.0,senior,Hibrido,Grado Universitario,Internet,Jornada completa,,Madrid,,,"Ingeniero/a civil y/o caminos Diseño y Cálculo estructural (Hormigón-Acero), Diseño básico de redes de drenaje enterradas, Modelado BIM, Edición de memorias de cálculo y Especificaciones Técnicas, Elaboración y supervisión de planos, Revisiones de ingeniería mediante modelos 3D integrados, Realización de mediciones y presupuestos, Cumplimiento de normativas Técnicas y de seguridad, Coordinación con arquitectura y resto de disciplinas de ingeniería del proyecto, Trabajo en equipo, Orientación a resultados, Proactividad e iniciativa, Fluidez en inglés hablado y escrito (B2)"
10.0,senior,,Grado Universitario,Tecnología y telecomunicaciones,,,España,,,"Senior Engineer Desarrollo de ingeniería conceptual, revisión de ingeniería básica y detallada, desarrollo de especificaciones para estudios preliminares, especificaciones de compra para equipos principales, especificaciones de contratos de servicios profesionales en nuevos proyectos, soporte técnico en la obtención de permisos, puesta en marcha y arranque de nuevos proyectos, conocimiento de mejores prácticas y lecciones aprendidas entre diferentes regiones"
7.0,senior,,Grado Universitario,Energía y medio ambiente,,,España,,,"Responsable Técnico de Ingeniería Civil – Proyecto de Energía AutoCAD, Civil 3D, SAP2000, ETABS, Plaxis, MS Project, Primavera, conocimiento avanzado de normativa técnica (Eurocódigos, ACI, ASTM, CTE, normativa local), diseño y cálculo de cimentaciones, estructuras metálicas y de hormigón, movimientos de tierra, explanaciones, drenajes, pavimentos y obras auxiliares industriales, procesos constructivos, control de obra y gestión de calidad"
,,Presencial,Grado Universitario,Agricultura,Jornada completa,,Lleida,,,"Ingeniero/a Oficina Técnica Conocimientos en herramientas de diseño técnico (CAD), gestión de proyectos, sistemas de control, trabajo en equipo, iniciativa, orientación a resultados"
6.0,senior,,Grado Universitario,Tecnología y telecomunicaciones,,,España,,,"Product Development Engineer Análisis estructural, diseño mecánico, cálculos de ingeniería, herramientas FEM (ANSYS), 3D CAD (SolidWorks), trabajo en equipo, comunicación técnica, evaluación de proveedores, gestión de proyectos, liderazgo técnico"
0.0,intern,Hibrido,Grado Universitario,Agricultura,,,España,,,"Ingeniero/a Sector Aeronáutico Inglés C1, Excel, SAP, diseño y desarrollo de componentes aeronáuticos, compras y gestión de suministradores, ingeniería de producción, planificación y control de producción, gestión de configuración, gestión de aeronavegabilidad, publicaciones técnicas, MRO, Francés o Alemán"
1.0,junior,,Grado Universitario,Tecnología y telecomunicaciones,,,Pamplona,,,"Ingeniero/a Automatización Pamplona PLC, Step 7, TIA Portal Siemens, Schneider, Rockwell, HMI, SCADA, variadores de frecuencia, servo posicionadores, redes Profinet, Profisafe, comunicaciones industriales"
5.0,senior,Hibrido,Grado Universitario,Internet,,,España,,,"Ingeniero/a Mecánico/a Inglés fluido, liderazgo, comunicación, trabajo bajo presión, cumplimiento de plazos, conocimiento de códigos y normas industriales (ASME, API, ISO, etc.)"
,,,Grado Universitario,Finanzas y seguros,,,Barcelona,,,"Process Engineer Análisis de problemas, metodología de resolución de problemas, creación de estándares de configuración, documentación de procedimientos, formación y capacitación de operadores y técnicos, seguimiento de procedimientos de mantenimiento, participación en ensayos de industrialización, mejora de seguridad, calidad y eficiencia"
2.0,junior,,Grado Universitario,Energía y medio ambiente,,,Madrid,,,"Ingeniero/a de Ofertas - Proyectos EPC AutoCAD, Excel, diseño de plantas, agrupaciones elécticas, obra civil, análisis técnico, organización, trabajo bajo plazos ajustados, inglés medio-alto"
2.0,junior,,FP Superior,Agricultura,,,Vitoria,45000.0,40.000-65.000,"Delineante Proyectista neumática, hidráulica, procesos de mecanizado, diseño en fabricación mecánica, análisis técnico, orientación al detalle"
3.0,senior,,Grado Universitario,Agricultura,Jornada completa,,España,,,"CAMO / MRO Engineer Análisis, resolución de problemas, comunicación, inglés B2 o superior"
,,,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Córdoba,,,"Product Technical Engineer Industrial or Electronics Engineering Degree, Consolidated experience in product development, Advanced level of English, Passion for the automotive industry"
3.0,senior,,Grado Universitario,Internet,Jornada completa,,Granada,,,"Technical project manager d1421b29 Gestión de proyectos, innovación tecnológica, liderazgo de iniciativas de I+D, trabajo en entornos ágiles, gestión de proveedores técnicos, comunicación en inglés técnico avanzado"
0.0,intern,Presencial,Grado Universitario,Energía y medio ambiente,Jornada completa,,Ciudad Real,,,"Graduado en Ingeniería Eléctrica / FP Instalaciones Eléctricas, Mecatrónica manejo de equipos de medición e informáticos, capacidad técnica, disponibilidad para viajar nacional e internacionalmente"
3.0,senior,,Grado Universitario,Productos químicos y recursos,,,España,,,"Responsable de Ingeniería y Proyectos Liderazgo, planificación, diseño de proyectos, coordinación, gestión de proyectos estratégicos, optimización de procesos, acondicionamiento de instalaciones, mantenimiento preventivo y correctivo, coordinación interdepartamental, supervisión de procesos de producción, cumplimiento de normativas de calidad y seguridad, diseño e implementación de proyectos de inversión, manejo de equipos de producción, inglés avanzado"
5.0,senior,,Grado Universitario,Energía y medio ambiente,,,España,,,"Ingeniero Oficina Técnica Senior Excel, Word, AutoCAD"
,junior,,Grado Universitario,Internet,Temporal,,Huelva,,,"Ingeniero/a Eléctrico Ingeniería eléctrica, diseño y soporte técnico de sistemas e instalaciones eléctricas, interpretación de planos eléctricos, pruebas de funcionamiento, análisis técnico de equipos y sistemas eléctricos, diagnóstico y resolución de incidencias técnicas, manejo de herramientas CAD eléctricas, conocimientos básicos de normativa eléctrica, inglés"
,,,Ninguna,Construcción,,,España,,,"Project Engineer - Electrical Engineering Gestión de proyectos, diseño de ingeniería, construcción de productos, pruebas de productos, evaluación de cambios en proyectos, monitoreo de calidad, cumplimiento de códigos y políticas, resolución de problemas, soporte de ciclo de vida, apoyo a desarrollo de negocios"
1.0,junior,Hibrido,Grado Universitario,Energía y medio ambiente,Jornada completa,,Madrid,,,"Structural Analyst Engineer Nuclear industry, mechanical component stress analysis, fatigue and fracture mechanics assessments, finite element analysis software for structural analysis, ANSYS APDL and Workbench"
0.0,intern,Presencial,Grado Universitario,Agricultura,Prácticas,,Albacete,,,"Propulsion Analysis Engineer Ingeniería Aeroespacial, Inglés B2, trabajo en equipo, esfuerzo, dinamismo, compromiso"
10.0,senior,,Ninguna,Energía y medio ambiente,,,España,,,"Electrical Engineer Conceptual Engineering, Review of Basic and Detailed Engineering, Development of specifications, Technical support in permitting, commissioning and start-up, U.S. projects and regulations, Strong autonomy, initiative, organizational and communication skills, Teamwork, Problem-solving and troubleshooting"
3.0,senior,,Grado Universitario,Tecnología y telecomunicaciones,,,España,,,"Ingeniero/a Eléctrico/Electrónico Programación de sistemas embebidos en microcontroladores y microprocesadores, Programación en tiempo real y sistemas operativos, Sistemas IoT y comunicaciones electrónicas distribuidas (CAN, LIN, Modbus, etc.), Innovación, Adaptación, Iniciativa, Trabajo en equipo"
,,,Ninguna,Energía y medio ambiente,,,España,,,"Ingeniero Eléctrico Senior Supervisión de instalaciones eléctricas, coordinación de equipos de trabajo, cumplimiento de normativas de seguridad y calidad, programación y supervisión de mantenimientos, realización de pruebas eléctricas, inspecciones y reportes técnicos"
5.0,senior,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Madrid,,,"Manufacturing Processes Engineer EPLAN Harness, CATIA, CREO, PLM, habilidades analíticas, proactividad, comunicación, flexibilidad"
4.0,senior,Presencial,Grado Universitario,Energía y medio ambiente,Jornada completa,,Madrid,540000.0,>100.000,"Structural Engineer/Analyst ANSYS, LS-DYNA, STAAD.Pro, GT STRUDL, análisis estructural, análisis de elementos finitos, cálculo de esfuerzos en vigas y placas, interacción suelo-estructura, análisis sísmico, conocimiento de normas y códigos industriales (ASME, ASCE, ACI, AISC)"
4.0,senior,,Grado Universitario,Energía y medio ambiente,Contrato por obra,"Paquete retributivo flexible, formación disponible para todos los empleados, contrato indefinido, seguro de vida desde el primer momento, opción de seguro médico",España,,,"Ingeniero Subestaciones Ingeniería de subestaciones eléctricas AT/MT, normativa eléctrica española, solicitud de acceso y conexión a redes de transporte y distribución, Autocad 2D, Ofimática (Word, Excel), Inglés nivel B2, conocimiento de normativa y criterios de diseño de subestaciones de compañías eléctricas, sistemas de comunicaciones para subestaciones eléctricas AT/MT, diseño de instalaciones eléctricas bajo metodología BIM, EPLAN, software específico para modelado y simulación de redes eléctricas (DigSilent, Cape, ETAP), tercer idioma preferiblemente francés"
5.0,senior,Hibrido,Ninguna,Energía y medio ambiente,Jornada completa,,Sevilla,,,"Ingeniero/a de Procesos - Sevilla 1938 normativa UNE y RD, ASME, API, ISO, orientación a cliente, trabajo en equipo, conocimientos en hidrógeno, electrólisis, proyectos de descarbonización, captura de CO2, plantas de amoniaco a partir de H2, plantas de metanol a partir de H2, manejo de Aspen Hysys, Pipe Flo, AutoPlant P&ID"
5.0,senior,Hibrido,Grado Universitario,Internet,Jornada completa,,Madrid,,,"INGENIERO/A CIVIL ESTRUCTURAS PLANTAS INDUSTRIALES STAAD PRO, Idea Statica, Robot, SAP2000, cálculo de estructuras, diseño de estructuras de hormigón y acero, análisis de cargas, coordinación con otras disciplinas de ingeniería"
3.0,senior,,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,Alicante,,,"Avionics AIT Engineer Avionics AIT, avionics requirements analysis, hardware and software testing, ECSS, IPC, NASA, MIL Standards, environmental testing, electrical schematics, circuit analysis, functional test plans, clean room and EPA environments, teamwork, communication skills"
3.0,senior,,Grado Universitario,Internet,Jornada completa,,Zaragoza,45000.0,40.000-65.000,"Ingeniero/a de desarrollo industrial y soporte en planta eb461d68 procesos de fabricación, inyección plásticos, mecanizado, diseño CAD 3D (SolidWorks, CATIA, NX, Inventor), interpretación avanzada de planos, metodologías de calidad (AMFE, APQP/PPAP), Lean Manufacturing, análisis de procesos, resolución de problemas, gestión de proyectos, comunicación efectiva, autonomía y orientación a resultados"
5.0,senior,,Grado Universitario,Energía y medio ambiente,,,Cádiz,,,"Ingeniero/a eléctrico/a Supervisión Técnica de Instalaciones Eléctricas, Puesta en Marcha y Pruebas de Sistemas, Control de Calidad y Cumplimiento Normativo, Inspecciones y Elaboración de Informes, Experiencia en SCADA/HMI, Conocimientos de Mecánica"
,,,Grado Universitario,Tecnología y telecomunicaciones,,,Valladolid,,,"Industrial Process Engineer Industrial engineering, automation, electronics, manufacturing processes, project management, innovation, Factory 4.0, leadership, communication skills"
2.0,junior,,Grado Universitario,Agricultura,Jornada completa,,España,,,"Ingeniero/a Soporte Mantenimiento Windchill, Foram, SAP, inglés B2"
0.0,intern,Hibrido,Grado Universitario,Construcción,Jornada completa,,Madrid,,,"Beca en Ingeniería civil/ Madrid Excel, Word, PowerPoint, inglés avanzado, comunicación, colaboración, orientación al detalle, análisis de datos, simulaciones"
,,Hibrido,Grado Universitario,Servicios,Jornada completa,,Soria,300000.0,>100.000,"Asesor/a Contable Dominio del marco normativo contable y fiscal español, manejo avanzado de software de gestión contable (A3, Sage, Contasol, o similares), conocimiento de las plataformas de la AEAT, organización, meticulosidad, autonomía, habilidades comunicativas"
3.0,senior,Presencial,FP Superior,Comercio minorista y comercio,Jornada completa,,Cádiz,21500.0,15.000-22.000,"ADMINISTRATIVO/A CONTABLE Excel, Outlook, Plan General Contable, manejo de software contable o de gestión, inglés medio"
5.0,senior,Presencial,Grado Universitario,Finanzas y seguros,Temporal,,España,24000.0,22.000-30.000,"Especialista Contable Excelentes habilidades analíticas, cuantitativas y de resolución de problemas, capacidad para trabajar en equipo y de forma autónoma, manejo avanzado de Microsoft Excel, Word, Access y PowerPoint, excelentes habilidades de comunicación y escucha activa, capacidad para influir y generar consenso entre diferentes stakeholders, familiaridad con herramientas de visualización como Tableau o Power BI, SAP muy valorado"
3.0,junior,Remoto,Grado Universitario,Servicios,Jornada completa,,España,288000.0,>100.000,"Asesor Fiscal y Contable Habilidad para trabajar en equipo, comunicación, organización, conocimiento en materia fiscal y contable"
3.0,senior,Presencial,Grado Universitario,Finanzas y seguros,Jornada completa,,España,,,"Técnico Finanzas Excel avanzado, Power Query, Power BI, A3con"
1.0,junior,,Grado Universitario,"Salud, Farmacia y Tecnología Médica",Jornada completa,,Girona,,,"Administrativo/a con inglés Creación de códigos, seguimiento de departamentos, entrada de datos de supply, actualización y entrada de BOM’s, configuración de códigos, seguimiento de liberación de nuevos códigos, SAP, Excel, inglés avanzado"
0.0,intern,,Ninguna,Deportes y recreación,Temporal,,Madrid,28000.0,22.000-30.000,"PARTNER MANAGER MADRID - ESPAÑA Gestión de cuentas, orientación a resultados, persuasión, habilidades interpersonales, conocimientos en fitness, inglés, Excel, PowerPoint, Word"
4.0,senior,Presencial,Grado Universitario,Agricultura,Jornada completa,,Salamanca,22200.0,22.000-30.000,"Contable Contabilidad, Administración y Dirección de Empresas, Finanzas, Manejo avanzado de software contable y herramientas ofimáticas, liderazgo, organización, resolución de problemas"
1.0,junior,Presencial,FP Medio,Servicios,Jornada completa,,España,22000.0,15.000-22.000,"Administrativo Contable Contabilidad, conciliación cuentas, elaboración de informes contables, conocimientos de legislación fiscal y mercantil, habilidades en herramientas informáticas como paquetes contables y excel"
3.0,senior,Presencial,Grado Universitario,Deportes y recreación,Jornada completa,,Barcelona,40000.0,30.000-40.000,"Controller Financiero Corporate finance, M&A, fundraising, optimización fiscal, habilidades de liderazgo, negociación y comunicación, conocimientos en herramientas de BI y digitalización financiera"
,,Presencial,Ninguna,Finanzas y seguros,Jornada completa,,España,,,"Responsable Financiero Previsión y gestión de tesorería, control del flujo de caja, análisis económico financiero, control presupuestario, reporting periódico, relación y negociación con bancos y asesores externos, organización del departamento financiero, optimización del circulante de la empresa, análisis y optimización de recursos económicos y financieros, supervisión y control de la contabilidad general, fiscalidad y elaboración de cuentas anuales, elaboración de informes económico-financieros, análisis de estados financieros, ratios y KPI's"
10.0,senior,Presencial,Grado Universitario,Finanzas y seguros,Jornada completa,,Barcelona,,,"Controller Financiero – Responsable de Finanzas Gestión bancaria, laboral, análisis contable, impuestos, comunicación con gerencia, coordinación de equipos, organización, atención al detalle, Sage 200"
,,Presencial,Grado Universitario,Finanzas y seguros,Jornada completa,,Lleida,23500.0,22.000-30.000,"Contable con Francés Nativo – Mercado Francés Francés nativo, Grado en Contabilidad, Finanzas, ADE o similar, Conocimiento de la normativa contable y fiscal en Francia, Trabajo en equipo, Organización, Atención al detalle"
0.0,intern,Remoto,Ninguna,Servicios,Media jornada,,España,13800.0,<15.000,"Adminsitrados de empresas Planificación estratégica, gestión de recursos, dirección y liderazgo, control y evaluación, comunicación y relaciones, finanzas, marketing, recursos humanos, operaciones, estrategia"
,senior,Remoto,Ninguna,Servicios,Otro,,España,200000.0,>100.000,"Consultor Independiente – Finanzas / M&A / Gestión Patrimonial / Inmobiliario Negocios, inversiones, inmobiliario, gestión patrimonial, finanzas corporativas, construcción de relaciones a largo plazo, confidencialidad, mentalidad emprendedora, cross-selling"
1.0,junior,Presencial,FP Medio,Servicios,Jornada completa,,Málaga,24000.0,22.000-30.000,"Asesor/a fiscal oTécnico/a en Fiscalidad Asesoramiento fiscal, preparación y revisión de declaraciones fiscales, coordinación con áreas de contabilidad y jurídico, comunicación en alemán y español, conocimientos de legislación fiscal española"
1.0,junior,Hibrido,Grado Universitario,Finanzas y seguros,Jornada completa,,Alicante,22800.0,22.000-30.000,"Asesor/a Fiscal y Contable Conocimiento de la normativa fiscal vigente, asesoramiento fiscal, gestión contable, cálculo y pago de tributos, elaboración de declaraciones de RENTA, gestión del impuesto de sociedades, manejo de programa A3ECO/A3CON, análisis, resolución de problemas, comunicación y presentación"
,,,FP Superior,Comercio electrónico,,,España,,,"Guest Experience Supervisor CINESA gestión y motivación de equipos, habilidad de trabajo en equipo, liderazgo, dominio de herramientas informáticas (Office), inglés"
,,Presencial,FP Superior,Finanzas y seguros,Jornada completa,,Granada,20855.975,15.000-22.000,"Administración y gestión Organización, proactividad, visión de mejora continua, conocimientos contables, registro contable diario, conciliación bancaria, seguimiento de saldos pendientes, soporte cierres mensuales, soporte documentación auditorias, Paquete Office, Excel, A3 ERP"
3.0,junior,Presencial,FP Superior,Servicios,Jornada completa,,España,19500.0,15.000-22.000,"Técnico Administrativo/a - Office Management Proactividad, buenas capacidades de expresión oral y escrita, compromiso, habilidades de comunicación e interpersonales, orientación a resultados, atención al detalle, capacidad analítica y resolución de problemas, gestión del tiempo y organización, capacidad para trabajar en equipo en un entorno dinámico, resiliencia y manejo del estrés, dominio del inglés (nivel B1), buen dominio del inglés (nivel B2), gestión de ERP, certificaciones y licitaciones, procesos internos y tareas de facturación y control administrativo"
3.0,senior,Hibrido,Ninguna,Tecnología y telecomunicaciones,Jornada completa,,Palma de Mallorca,40000.0,30.000-40.000,"Consultor/a Funcional Microsoft Dynamics 365 Business Central - Híbrido - Palma de Mallorca Business Central, Navision, consultor funcional, finanzas, compras, ventas, almacén, proyectos, gestión hotelera, analista programador"
,,Hibrido,Grado Universitario,Finanzas y seguros,Jornada completa,,España,,,"Consultor Financiero Formación en ADE, finanzas, contabilidad, capacidad de comunicación, liderazgo, emprendimiento"
2.0,junior,Presencial,Grado Universitario,Finanzas y seguros,Jornada completa,,Alicante,,,"CONTROLLER DE GESTIÓN Excel, Power BI, contabilidad analítica, autonomía, trabajo en equipo, atención al cliente, seriedad, responsabilidad, capacidad de organización, metódico, ordenado, riguroso"
3.0,senior,Presencial,FP Superior,Finanzas y seguros,Jornada completa,,España,27000.0,22.000-30.000,"Técnico Contable Manejo de Excel avanzado, habilidades sociales, capacidad de trabajo en equipo, perfeccionismo y meticulosidad"
1.0,junior,,FP Superior,Productos químicos y recursos,Temporal,,Santander,28272.97,22.000-30.000,"administrativo/a soporte calidad y prl Excel, herramientas ofimáticas, inglés B2, trabajo en equipo, atención al detalle, organización y planificación, responsabilidad y compromiso, capacidad analítica"
,,Hibrido,Grado Universitario,Tecnología y telecomunicaciones,Jornada completa,,España,,,"Head of International Controlling Supervisión de cierres contables, elaboración y consolidación de reporting financiero, revisión de consolidado del grupo, control y seguimiento del cash flow, preparación de presupuestos de tesorería, análisis de liquidez, coordinación de equipos internos y externos, cumplimiento de normativas fiscales y contables internacionales, definición de estrategias financieras internacionales, impulso de mejoras en procesos de control y reporting"
5.0,senior,Presencial,Grado Universitario,Servicios,Jornada completa,,España,,,"Administrativo/a Contable Excelente capacidad de organización y atención al detalle, seguimiento de cobros y confirmación de pagos de clientes, atención telefónica puntual de clientes para redirección de llamadas, dominio de herramientas informáticas (Sage 200)"
,,Presencial,Grado Universitario,Servicios,Jornada completa,,España,,,"Asesor Fiscal y Contable Gestión contable y fiscal, elaboración y presentación de impuestos, confección y revisión de contabilidad, asesoramiento fiscal recurrente, elaboración de declaraciones de la Renta, preparación y presentación del Impuesto sobre Sociedades, elaboración y depósito de Cuentas Anuales, trabajo en equipo, comunicación y orientación al cliente"
0.0,intern,Presencial,Grado Universitario,Productos químicos y recursos,Prácticas,,Madrid,2400.0,<15.000,"Auxiliar Administrativo Excel, Word, organización, responsabilidad, interés en el área administrativa y financiera"
1.0,junior,Hibrido,FP Superior,Tecnología y telecomunicaciones,Jornada completa,,Madrid,16000.0,15.000-22.000,"CONSULTOR FUNCIONAL JUNIOR SAGE 200 SIN EXPERIENCIA Consultoría, análisis de negocio, implementación de Sage en módulos de finanzas y televenta, trabajo en equipo, habilidades de comunicación"
,,Presencial,FP Superior,Agricultura,Jornada completa,,Valladolid,19000.0,15.000-22.000,"Auxiliar Administrativo Proactividad, capacidad analítica, gestión del tiempo, trabajo en equipo, conocimientos en contabilidad, atención telefónica, manejo de ERP, Excel avanzado"
,,Presencial,Grado Universitario,Internet,Jornada completa,,España,20400.0,15.000-22.000,"Auxiliar Administrativa Contabilidad, facturación, gestión de documentación, atención al cliente, ofimática"
0.0,intern,Presencial,Ninguna,Servicios,Media jornada,,España,,,"Prácticas de empresa Excel, herramientas ofimáticas, organización, atención al detalle"
0.0,intern,Presencial,Grado Universitario,Finanzas y seguros,Jornada completa,,España,27000.0,22.000-30.000,"Agente Financiero Excelente actitud comercial, comunicación asertiva, orientación al cliente, manejo de CRM y herramientas digitales"
